Measure,Industry,Region,Quarter,Value,Flags
"Total filled jobs","Manufacturing","Northland","Mar-01",5010,
"Total filled jobs","Manufacturing","Tasman, Nelson, Marlborough, West Coast","Mar-01",9420,
"Total filled jobs","Manufacturing","Canterbury","Mar-01",35300,
"Total filled jobs","Manufacturing","Wellington","Mar-01",16310,
"Total filled jobs","Wholesale trade","Wellington","Mar-00",9330,
"Total filled jobs","Wholesale trade","Tasman, Nelson, Marlborough, West Coast","Mar-00",1730,
"Total filled jobs","Wholesale trade","Waikato","Mar-00",4820,
"Total filled jobs","Wholesale trade","Gisborne","Mar-00",530,
"Total filled jobs","Wholesale trade","Bay of Plenty","Mar-00",3310,
"Total filled jobs","Wholesale trade","Manawatu-Wanganui","Mar-00",3180,
"Total filled jobs","Wholesale trade","Taranaki","Mar-00",1470,
"Total filled jobs","Wholesale trade","Hawke's Bay","Mar-00",2090,
"Total filled jobs","Wholesale trade","Northland","Mar-00",1270,
"Total filled jobs","Wholesale trade","Auckland","Mar-00",43980,
"Total filled jobs","Construction","Hawke's Bay","Mar-00",2590,
"Total filled jobs","Construction","Gisborne","Mar-00",960,
"Total filled jobs","Construction","Southland","Mar-00",1710,
"Total filled jobs","Construction","Taranaki","Mar-00",1810,
"Total filled jobs","Construction","Total region","Mar-00",70340,
"Total filled jobs","Construction","Tasman, Nelson, Marlborough, West Coast","Mar-00",2790,
"Total filled jobs","Construction","Wellington","Mar-00",7970,
"Total filled jobs","Construction","Manawatu-Wanganui","Mar-00",4040,
"Total filled jobs","Construction","Canterbury","Mar-00",8880,
"Total filled jobs","Construction","Otago","Mar-00",3630,
"Total filled jobs","Construction","Waikato","Mar-00",7180,
"Total filled jobs","Construction","Auckland","Mar-00",22100,
"Total filled jobs","Construction","Northland","Mar-00",2150,
"Total filled jobs","Manufacturing","Gisborne","Mar-00",1640,
"Total filled jobs","Construction","Bay of Plenty","Mar-00",4530,
"Total filled jobs","Manufacturing","Taranaki","Mar-00",7980,
"Total filled jobs","Manufacturing","Waikato","Mar-00",17700,
"Total filled jobs","Manufacturing","Bay of Plenty","Mar-00",12020,
"Total filled jobs","Manufacturing","Auckland","Mar-00",76670,
"Total filled jobs","Manufacturing","Northland","Mar-00",4980,
"Total filled jobs","Manufacturing","Tasman, Nelson, Marlborough, West Coast","Mar-00",9370,
"Total filled jobs","Manufacturing","Canterbury","Mar-00",34490,
"Total filled jobs","Manufacturing","Wellington","Mar-00",16640,
"Total filled jobs","Financial and insurance services","Gisborne","Mar-14",190,
"Total filled jobs","Financial and insurance services","Northland","Mar-14",790,
"Total filled jobs","Financial and insurance services","Auckland","Mar-14",28290,
"Total filled jobs","Financial and insurance services","Waikato","Mar-14",2280,
"Total filled jobs","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-14",3990,
"Total filled jobs","Transport, storage, information media, and telecommunications","Wellington","Mar-14",13720,
"Total filled jobs","Transport, storage, information media, and telecommunications","Canterbury","Mar-14",14840,
"Total filled jobs","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-14",2870,
"Total filled jobs","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-14",3740,
"Total filled jobs","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-14",5750,
"Total filled jobs","Transport, storage, information media, and telecommunications","Auckland","Mar-14",49680,
"Total filled jobs","Transport, storage, information media, and telecommunications","Gisborne","Mar-14",800,
"Total filled jobs","Transport, storage, information media, and telecommunications","Taranaki","Mar-14",2490,
"Total filled jobs","Transport, storage, information media, and telecommunications","Waikato","Mar-14",6420,
"Total filled jobs","Transport, storage, information media, and telecommunications","Otago","Mar-14",4960,
"Total filled jobs","Transport, storage, information media, and telecommunications","Northland","Mar-14",2410,
"Total filled jobs","Transport, storage, information media, and telecommunications","Southland","Mar-14",2760,
"Total filled jobs","Transport, storage, information media, and telecommunications","Total region","Mar-14",114410,
"Total filled jobs","Accommodation and food services","Total region","Mar-14",125060,
"Total filled jobs","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-14",6110,
"Total filled jobs","Accommodation and food services","Southland","Mar-14",2740,
"Total filled jobs","Accommodation and food services","Manawatu-Wanganui","Mar-14",5310,
"Total filled jobs","Accommodation and food services","Canterbury","Mar-14",15760,
"Total filled jobs","Accommodation and food services","Hawke's Bay","Mar-14",3680,
"Total filled jobs","Accommodation and food services","Bay of Plenty","Mar-14",7480,
"Total filled jobs","Accommodation and food services","Otago","Mar-14",10310,
"Total filled jobs","Accommodation and food services","Gisborne","Mar-14",920,
"Total filled jobs","Accommodation and food services","Taranaki","Mar-14",2630,
"Total filled jobs","Accommodation and food services","Wellington","Mar-14",15070,
"Total filled jobs","Accommodation and food services","Auckland","Mar-14",41060,
"Total filled jobs","Accommodation and food services","Northland","Mar-14",3560,
"Total filled jobs","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-14",8520,
"Total filled jobs","Accommodation and food services","Waikato","Mar-14",10440,
"Total filled jobs","Retail trade","Manawatu-Wanganui","Mar-14",9890,
"Total filled jobs","Retail trade","Otago","Mar-14",10230,
"Total filled jobs","Retail trade","Wellington","Mar-14",21170,
"Total filled jobs","Retail trade","Bay of Plenty","Mar-14",11420,
"Total filled jobs","Retail trade","Hawke's Bay","Mar-14",6160,
"Total filled jobs","Retail trade","Taranaki","Mar-14",4770,
"Total filled jobs","Retail trade","Canterbury","Mar-14",26310,
"Total filled jobs","Retail trade","Total region","Mar-14",186920,
"Total filled jobs","Retail trade","Southland","Mar-14",4490,
"Total filled jobs","Retail trade","Northland","Mar-14",5690,
"Total filled jobs","Retail trade","Auckland","Mar-14",60360,
"Total filled jobs","Retail trade","Gisborne","Mar-14",1570,
"Total filled jobs","Wholesale trade","Manawatu-Wanganui","Mar-14",4230,
"Total filled jobs","Retail trade","Waikato","Mar-14",16340,
"Total filled jobs","Wholesale trade","Taranaki","Mar-14",1490,
"Total filled jobs","Wholesale trade","Hawke's Bay","Mar-14",2200,
"Total filled jobs","Wholesale trade","Gisborne","Mar-14",420,
"Total filled jobs","Wholesale trade","Bay of Plenty","Mar-14",4160,
"Total filled jobs","Wholesale trade","Waikato","Mar-14",6730,
"Total filled jobs","Wholesale trade","Auckland","Mar-14",52100,
"Total filled jobs","Wholesale trade","Northland","Mar-14",1620,
"Total filled jobs","Financial and insurance services","Gisborne","Mar-13",200,
"Total filled jobs","Financial and insurance services","Northland","Mar-13",790,
"Total filled jobs","Financial and insurance services","Auckland","Mar-13",28140,
"Total filled jobs","Financial and insurance services","Waikato","Mar-13",2200,
"Total filled jobs","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-13",3870,
"Total filled jobs","Transport, storage, information media, and telecommunications","Wellington","Mar-13",14080,
"Total filled jobs","Transport, storage, information media, and telecommunications","Canterbury","Mar-13",14290,
"Total filled jobs","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-13",2830,
"Total filled jobs","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-13",6010,
"Total filled jobs","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-13",3790,
"Total filled jobs","Transport, storage, information media, and telecommunications","Gisborne","Mar-13",770,
"Total filled jobs","Transport, storage, information media, and telecommunications","Taranaki","Mar-13",2380,
"Total filled jobs","Transport, storage, information media, and telecommunications","Waikato","Mar-13",6340,
"Total filled jobs","Transport, storage, information media, and telecommunications","Otago","Mar-13",4710,
"Total filled jobs","Transport, storage, information media, and telecommunications","Auckland","Mar-13",49620,
"Total filled jobs","Transport, storage, information media, and telecommunications","Northland","Mar-13",2350,
"Total filled jobs","Transport, storage, information media, and telecommunications","Southland","Mar-13",2600,
"Total filled jobs","Transport, storage, information media, and telecommunications","Total region","Mar-13",113630,
"Total filled jobs","Accommodation and food services","Total region","Mar-13",121200,
"Total filled jobs","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-13",6120,
"Total filled jobs","Accommodation and food services","Southland","Mar-13",2650,
"Total filled jobs","Accommodation and food services","Manawatu-Wanganui","Mar-13",5250,
"Total filled jobs","Accommodation and food services","Canterbury","Mar-13",14920,
"Total filled jobs","Accommodation and food services","Hawke's Bay","Mar-13",3580,
"Total filled jobs","Accommodation and food services","Bay of Plenty","Mar-13",7380,
"Total filled jobs","Accommodation and food services","Otago","Mar-13",9870,
"Total filled jobs","Accommodation and food services","Gisborne","Mar-13",990,
"Total filled jobs","Accommodation and food services","Taranaki","Mar-13",2650,
"Total filled jobs","Accommodation and food services","Wellington","Mar-13",14610,
"Total filled jobs","Accommodation and food services","Auckland","Mar-13",39580,
"Total filled jobs","Accommodation and food services","Northland","Mar-13",3530,
"Total filled jobs","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-13",8260,
"Total filled jobs","Accommodation and food services","Waikato","Mar-13",10070,
"Total filled jobs","Retail trade","Manawatu-Wanganui","Mar-13",9930,
"Total filled jobs","Retail trade","Otago","Mar-13",10250,
"Total filled jobs","Retail trade","Wellington","Mar-13",21540,
"Total filled jobs","Retail trade","Bay of Plenty","Mar-13",11210,
"Total filled jobs","Retail trade","Taranaki","Mar-13",4730,
"Total filled jobs","Retail trade","Canterbury","Mar-13",25710,
"Total filled jobs","Retail trade","Total region","Mar-13",184090,
"Total filled jobs","Retail trade","Southland","Mar-13",4480,
"Total filled jobs","Retail trade","Northland","Mar-13",5750,
"Total filled jobs","Retail trade","Auckland","Mar-13",58380,
"Total filled jobs","Retail trade","Hawke's Bay","Mar-13",6170,
"Total filled jobs","Retail trade","Gisborne","Mar-13",1580,
"Total filled jobs","Retail trade","Waikato","Mar-13",16080,
"Total filled jobs","Wholesale trade","Taranaki","Mar-13",1550,
"Total filled jobs","Wholesale trade","Manawatu-Wanganui","Mar-13",4220,
"Total filled jobs","Wholesale trade","Hawke's Bay","Mar-13",2160,
"Total filled jobs","Wholesale trade","Gisborne","Mar-13",390,
"Total filled jobs","Wholesale trade","Bay of Plenty","Mar-13",4100,
"Total filled jobs","Wholesale trade","Waikato","Mar-13",6640,
"Total filled jobs","Wholesale trade","Auckland","Mar-13",51350,
"Total filled jobs","Wholesale trade","Northland","Mar-13",1600,
"Total filled jobs","Financial and insurance services","Gisborne","Mar-12",200,
"Total filled jobs","Financial and insurance services","Northland","Mar-12",700,
"Total filled jobs","Financial and insurance services","Auckland","Mar-12",27620,
"Total filled jobs","Financial and insurance services","Waikato","Mar-12",2570,
"Total filled jobs","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-12",3920,
"Total filled jobs","Transport, storage, information media, and telecommunications","Wellington","Mar-12",14470,
"Total filled jobs","Transport, storage, information media, and telecommunications","Canterbury","Mar-12",15050,
"Total filled jobs","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-12",2770,
"Total filled jobs","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-12",5810,
"Total filled jobs","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-12",3960,
"Total filled jobs","Transport, storage, information media, and telecommunications","Gisborne","Mar-12",800,
"Total filled jobs","Transport, storage, information media, and telecommunications","Taranaki","Mar-12",2530,
"Total filled jobs","Transport, storage, information media, and telecommunications","Waikato","Mar-12",6420,
"Total filled jobs","Transport, storage, information media, and telecommunications","Auckland","Mar-12",48820,
"Total filled jobs","Transport, storage, information media, and telecommunications","Northland","Mar-12",2270,
"Total filled jobs","Transport, storage, information media, and telecommunications","Southland","Mar-12",2730,
"Total filled jobs","Transport, storage, information media, and telecommunications","Total region","Mar-12",114270,
"Total filled jobs","Accommodation and food services","Total region","Mar-12",121470,
"Total filled jobs","Transport, storage, information media, and telecommunications","Otago","Mar-12",4710,
"Total filled jobs","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-12",6220,
"Total filled jobs","Accommodation and food services","Southland","Mar-12",2780,
"Total filled jobs","Accommodation and food services","Manawatu-Wanganui","Mar-12",5430,
"Total filled jobs","Accommodation and food services","Canterbury","Mar-12",14180,
"Total filled jobs","Accommodation and food services","Hawke's Bay","Mar-12",3620,
"Total filled jobs","Accommodation and food services","Bay of Plenty","Mar-12",7440,
"Total filled jobs","Accommodation and food services","Otago","Mar-12",9760,
"Total filled jobs","Accommodation and food services","Gisborne","Mar-12",990,
"Total filled jobs","Accommodation and food services","Taranaki","Mar-12",2800,
"Total filled jobs","Accommodation and food services","Wellington","Mar-12",15530,
"Total filled jobs","Accommodation and food services","Auckland","Mar-12",39140,
"Total filled jobs","Accommodation and food services","Northland","Mar-12",3500,
"Total filled jobs","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-12",8260,
"Total filled jobs","Accommodation and food services","Waikato","Mar-12",10100,
"Total filled jobs","Retail trade","Manawatu-Wanganui","Mar-12",10020,
"Total filled jobs","Retail trade","Otago","Mar-12",10090,
"Total filled jobs","Retail trade","Wellington","Mar-12",20350,
"Total filled jobs","Retail trade","Bay of Plenty","Mar-12",11460,
"Total filled jobs","Retail trade","Taranaki","Mar-12",4750,
"Total filled jobs","Retail trade","Canterbury","Mar-12",25090,
"Total filled jobs","Retail trade","Total region","Mar-12",181580,
"Total filled jobs","Retail trade","Southland","Mar-12",4520,
"Total filled jobs","Retail trade","Northland","Mar-12",5760,
"Total filled jobs","Retail trade","Auckland","Mar-12",57020,
"Total filled jobs","Retail trade","Hawke's Bay","Mar-12",6420,
"Total filled jobs","Retail trade","Gisborne","Mar-12",1560,
"Total filled jobs","Retail trade","Waikato","Mar-12",16280,
"Total filled jobs","Wholesale trade","Taranaki","Mar-12",1480,
"Total filled jobs","Wholesale trade","Manawatu-Wanganui","Mar-12",4100,
"Total filled jobs","Wholesale trade","Gisborne","Mar-12",430,
"Total filled jobs","Wholesale trade","Bay of Plenty","Mar-12",4270,
"Total filled jobs","Wholesale trade","Hawke's Bay","Mar-12",2160,
"Total filled jobs","Wholesale trade","Waikato","Mar-12",6460,
"Total filled jobs","Wholesale trade","Auckland","Mar-12",50940,
"Total filled jobs","Wholesale trade","Northland","Mar-12",1630,
"Total filled jobs","Financial and insurance services","Gisborne","Mar-11",200,
"Total filled jobs","Financial and insurance services","Northland","Mar-11",810,
"Total filled jobs","Financial and insurance services","Hawke's Bay","Mar-11",1030,
"Total filled jobs","Financial and insurance services","Waikato","Mar-11",2450,
"Total filled jobs","Financial and insurance services","Auckland","Mar-11",23950,
"Total filled jobs","Transport, storage, information media, and telecommunications","Wellington","Mar-11",14370,
"Total filled jobs","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-11",3990,
"Total filled jobs","Transport, storage, information media, and telecommunications","Canterbury","Mar-11",15250,
"Total filled jobs","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-11",2800,
"Total filled jobs","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-11",5460,
"Total filled jobs","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-11",3970,
"Total filled jobs","Transport, storage, information media, and telecommunications","Gisborne","Mar-11",820,
"Total filled jobs","Transport, storage, information media, and telecommunications","Taranaki","Mar-11",2410,
"Total filled jobs","Transport, storage, information media, and telecommunications","Waikato","Mar-11",6780,
"Total filled jobs","Transport, storage, information media, and telecommunications","Auckland","Mar-11",46790,
"Total filled jobs","Transport, storage, information media, and telecommunications","Northland","Mar-11",2350,
"Total filled jobs","Transport, storage, information media, and telecommunications","Southland","Mar-11",2590,
"Total filled jobs","Transport, storage, information media, and telecommunications","Total region","Mar-11",112400,
"Total filled jobs","Accommodation and food services","Total region","Mar-11",118890,
"Total filled jobs","Transport, storage, information media, and telecommunications","Otago","Mar-11",4780,
"Total filled jobs","Accommodation and food services","Southland","Mar-11",2830,
"Total filled jobs","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-11",6300,
"Total filled jobs","Accommodation and food services","Canterbury","Mar-11",16180,
"Total filled jobs","Accommodation and food services","Manawatu-Wanganui","Mar-11",5470,
"Total filled jobs","Accommodation and food services","Hawke's Bay","Mar-11",3580,
"Total filled jobs","Accommodation and food services","Bay of Plenty","Mar-11",7340,
"Total filled jobs","Accommodation and food services","Otago","Mar-11",9560,
"Total filled jobs","Accommodation and food services","Gisborne","Mar-11",1000,
"Total filled jobs","Accommodation and food services","Taranaki","Mar-11",2770,
"Total filled jobs","Accommodation and food services","Wellington","Mar-11",14100,
"Total filled jobs","Accommodation and food services","Auckland","Mar-11",36090,
"Total filled jobs","Accommodation and food services","Northland","Mar-11",3520,
"Total filled jobs","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-11",8220,
"Total filled jobs","Accommodation and food services","Waikato","Mar-11",10120,
"Total filled jobs","Retail trade","Manawatu-Wanganui","Mar-11",10230,
"Total filled jobs","Retail trade","Otago","Mar-11",10040,
"Total filled jobs","Retail trade","Wellington","Mar-11",20420,
"Total filled jobs","Retail trade","Bay of Plenty","Mar-11",11510,
"Total filled jobs","Retail trade","Taranaki","Mar-11",4710,
"Total filled jobs","Retail trade","Canterbury","Mar-11",25620,
"Total filled jobs","Retail trade","Total region","Mar-11",181760,
"Total filled jobs","Retail trade","Southland","Mar-11",4530,
"Total filled jobs","Retail trade","Northland","Mar-11",5920,
"Total filled jobs","Retail trade","Auckland","Mar-11",56130,
"Total filled jobs","Retail trade","Hawke's Bay","Mar-11",6520,
"Total filled jobs","Retail trade","Gisborne","Mar-11",1610,
"Total filled jobs","Retail trade","Waikato","Mar-11",16290,
"Total filled jobs","Wholesale trade","Total region","Mar-11",98630,
"Total filled jobs","Wholesale trade","Otago","Mar-11",2780,
"Total filled jobs","Wholesale trade","Southland","Mar-11",1530,
"Total filled jobs","Wholesale trade","Tasman, Nelson, Marlborough, West Coast","Mar-11",2340,
"Total filled jobs","Wholesale trade","Canterbury","Mar-11",13030,
"Total filled jobs","Financial and insurance services","Gisborne","Mar-10",210,
"Total filled jobs","Financial and insurance services","Northland","Mar-10",730,
"Total filled jobs","Financial and insurance services","Hawke's Bay","Mar-10",1060,
"Total filled jobs","Financial and insurance services","Waikato","Mar-10",2450,
"Total filled jobs","Financial and insurance services","Auckland","Mar-10",23830,
"Total filled jobs","Transport, storage, information media, and telecommunications","Wellington","Mar-10",14320,
"Total filled jobs","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-10",3900,
"Total filled jobs","Transport, storage, information media, and telecommunications","Canterbury","Mar-10",15300,
"Total filled jobs","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-10",2870,
"Total filled jobs","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-10",5210,
"Total filled jobs","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-10",4050,
"Total filled jobs","Transport, storage, information media, and telecommunications","Gisborne","Mar-10",830,
"Total filled jobs","Transport, storage, information media, and telecommunications","Taranaki","Mar-10",2440,
"Total filled jobs","Transport, storage, information media, and telecommunications","Waikato","Mar-10",6890,
"Total filled jobs","Transport, storage, information media, and telecommunications","Auckland","Mar-10",47130,
"Total filled jobs","Transport, storage, information media, and telecommunications","Northland","Mar-10",2310,
"Total filled jobs","Transport, storage, information media, and telecommunications","Southland","Mar-10",2540,
"Total filled jobs","Transport, storage, information media, and telecommunications","Total region","Mar-10",112780,
"Total filled jobs","Accommodation and food services","Total region","Mar-10",118040,
"Total filled jobs","Transport, storage, information media, and telecommunications","Otago","Mar-10",4990,
"Total filled jobs","Accommodation and food services","Southland","Mar-10",2920,
"Total filled jobs","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-10",6450,
"Total filled jobs","Accommodation and food services","Canterbury","Mar-10",16610,
"Total filled jobs","Accommodation and food services","Manawatu-Wanganui","Mar-10",5560,
"Total filled jobs","Accommodation and food services","Hawke's Bay","Mar-10",3780,
"Total filled jobs","Accommodation and food services","Bay of Plenty","Mar-10",7180,
"Total filled jobs","Accommodation and food services","Otago","Mar-10",8920,
"Total filled jobs","Accommodation and food services","Gisborne","Mar-10",980,
"Total filled jobs","Accommodation and food services","Taranaki","Mar-10",2780,
"Total filled jobs","Accommodation and food services","Wellington","Mar-10",14160,
"Total filled jobs","Accommodation and food services","Auckland","Mar-10",34590,
"Total filled jobs","Accommodation and food services","Northland","Mar-10",3780,
"Total filled jobs","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-10",8250,
"Total filled jobs","Accommodation and food services","Waikato","Mar-10",10350,
"Total filled jobs","Retail trade","Manawatu-Wanganui","Mar-10",10080,
"Total filled jobs","Retail trade","Otago","Mar-10",10020,
"Total filled jobs","Retail trade","Wellington","Mar-10",20570,
"Total filled jobs","Retail trade","Bay of Plenty","Mar-10",11630,
"Total filled jobs","Retail trade","Taranaki","Mar-10",4720,
"Total filled jobs","Retail trade","Canterbury","Mar-10",25260,
"Total filled jobs","Retail trade","Total region","Mar-10",182030,
"Total filled jobs","Retail trade","Southland","Mar-10",4510,
"Total filled jobs","Retail trade","Northland","Mar-10",6160,
"Total filled jobs","Retail trade","Auckland","Mar-10",56480,
"Total filled jobs","Retail trade","Hawke's Bay","Mar-10",6650,
"Total filled jobs","Retail trade","Gisborne","Mar-10",1680,
"Total filled jobs","Retail trade","Waikato","Mar-10",16030,
"Total filled jobs","Wholesale trade","Total region","Mar-10",96920,
"Total filled jobs","Wholesale trade","Southland","Mar-10",1400,
"Total filled jobs","Wholesale trade","Otago","Mar-10",2810,
"Total filled jobs","Wholesale trade","Canterbury","Mar-10",13180,
"Total filled jobs","Financial and insurance services","Gisborne","Mar-09",350,
"Total filled jobs","Financial and insurance services","Northland","Mar-09",800,
"Total filled jobs","Financial and insurance services","Hawke's Bay","Mar-09",1100,
"Total filled jobs","Financial and insurance services","Waikato","Mar-09",2540,
"Total filled jobs","Financial and insurance services","Auckland","Mar-09",23750,
"Total filled jobs","Transport, storage, information media, and telecommunications","Wellington","Mar-09",15280,
"Total filled jobs","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-09",3980,
"Total filled jobs","Transport, storage, information media, and telecommunications","Canterbury","Mar-09",16730,
"Total filled jobs","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-09",3090,
"Total filled jobs","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-09",5400,
"Total filled jobs","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-09",3950,
"Total filled jobs","Transport, storage, information media, and telecommunications","Gisborne","Mar-09",800,
"Total filled jobs","Transport, storage, information media, and telecommunications","Taranaki","Mar-09",2350,
"Total filled jobs","Transport, storage, information media, and telecommunications","Waikato","Mar-09",7580,
"Total filled jobs","Transport, storage, information media, and telecommunications","Auckland","Mar-09",48770,
"Total filled jobs","Transport, storage, information media, and telecommunications","Northland","Mar-09",2140,
"Total filled jobs","Transport, storage, information media, and telecommunications","Southland","Mar-09",2540,
"Total filled jobs","Transport, storage, information media, and telecommunications","Total region","Mar-09",117440,
"Total filled jobs","Accommodation and food services","Total region","Mar-09",115720,
"Total filled jobs","Transport, storage, information media, and telecommunications","Otago","Mar-09",4820,
"Total filled jobs","Accommodation and food services","Southland","Mar-09",2810,
"Total filled jobs","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-09",6290,
"Total filled jobs","Accommodation and food services","Canterbury","Mar-09",16600,
"Total filled jobs","Accommodation and food services","Manawatu-Wanganui","Mar-09",5340,
"Total filled jobs","Accommodation and food services","Hawke's Bay","Mar-09",3630,
"Total filled jobs","Accommodation and food services","Bay of Plenty","Mar-09",7170,
"Total filled jobs","Accommodation and food services","Gisborne","Mar-09",970,
"Total filled jobs","Accommodation and food services","Taranaki","Mar-09",2770,
"Total filled jobs","Accommodation and food services","Otago","Mar-09",8840,
"Total filled jobs","Accommodation and food services","Wellington","Mar-09",13610,
"Total filled jobs","Accommodation and food services","Auckland","Mar-09",33460,
"Total filled jobs","Accommodation and food services","Northland","Mar-09",3710,
"Total filled jobs","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-09",8220,
"Total filled jobs","Accommodation and food services","Waikato","Mar-09",10500,
"Total filled jobs","Retail trade","Manawatu-Wanganui","Mar-09",10440,
"Total filled jobs","Retail trade","Otago","Mar-09",9880,
"Total filled jobs","Retail trade","Wellington","Mar-09",21150,
"Total filled jobs","Retail trade","Bay of Plenty","Mar-09",12010,
"Total filled jobs","Retail trade","Taranaki","Mar-09",4740,
"Total filled jobs","Retail trade","Canterbury","Mar-09",25650,
"Total filled jobs","Retail trade","Total region","Mar-09",185070,
"Total filled jobs","Retail trade","Southland","Mar-09",4480,
"Total filled jobs","Retail trade","Northland","Mar-09",6290,
"Total filled jobs","Retail trade","Auckland","Mar-09",57260,
"Total filled jobs","Retail trade","Hawke's Bay","Mar-09",6870,
"Total filled jobs","Retail trade","Gisborne","Mar-09",1620,
"Total filled jobs","Retail trade","Waikato","Mar-09",16460,
"Total filled jobs","Wholesale trade","Total region","Mar-09",100510,
"Total filled jobs","Wholesale trade","Southland","Mar-09",1610,
"Total filled jobs","Wholesale trade","Otago","Mar-09",3060,
"Total filled jobs","Wholesale trade","Canterbury","Mar-09",13400,
"Total filled jobs","Financial and insurance services","Gisborne","Mar-08",370,
"Total filled jobs","Financial and insurance services","Northland","Mar-08",800,
"Total filled jobs","Financial and insurance services","Hawke's Bay","Mar-08",1040,
"Total filled jobs","Financial and insurance services","Waikato","Mar-08",2570,
"Total filled jobs","Financial and insurance services","Auckland","Mar-08",23750,
"Total filled jobs","Transport, storage, information media, and telecommunications","Wellington","Mar-08",14960,
"Total filled jobs","Transport, storage, information media, and telecommunications","Tasman, Nelson, Marlborough, West Coast","Mar-08",3880,
"Total filled jobs","Transport, storage, information media, and telecommunications","Canterbury","Mar-08",16700,
"Total filled jobs","Transport, storage, information media, and telecommunications","Hawke's Bay","Mar-08",2990,
"Total filled jobs","Transport, storage, information media, and telecommunications","Bay of Plenty","Mar-08",5440,
"Total filled jobs","Transport, storage, information media, and telecommunications","Manawatu-Wanganui","Mar-08",3950,
"Total filled jobs","Transport, storage, information media, and telecommunications","Gisborne","Mar-08",810,
"Total filled jobs","Transport, storage, information media, and telecommunications","Taranaki","Mar-08",2620,
"Total filled jobs","Transport, storage, information media, and telecommunications","Waikato","Mar-08",7670,
"Total filled jobs","Transport, storage, information media, and telecommunications","Auckland","Mar-08",48960,
"Total filled jobs","Transport, storage, information media, and telecommunications","Northland","Mar-08",2160,
"Total filled jobs","Transport, storage, information media, and telecommunications","Southland","Mar-08",2580,
"Total filled jobs","Transport, storage, information media, and telecommunications","Total region","Mar-08",117510,
"Total filled jobs","Accommodation and food services","Total region","Mar-08",120000,
"Total filled jobs","Transport, storage, information media, and telecommunications","Otago","Mar-08",4790,
"Total filled jobs","Accommodation and food services","Southland","Mar-08",2920,
"Total filled jobs","Accommodation and food services","Tasman, Nelson, Marlborough, West Coast","Mar-08",6520,
"Total filled jobs","Accommodation and food services","Canterbury","Mar-08",17150,
"Total filled jobs","Accommodation and food services","Manawatu-Wanganui","Mar-08",5480,
"Total filled jobs","Accommodation and food services","Hawke's Bay","Mar-08",3940,
"Total filled jobs","Accommodation and food services","Bay of Plenty","Mar-08",7630,
"Total filled jobs","Accommodation and food services","Gisborne","Mar-08",1020,
"Total filled jobs","Accommodation and food services","Taranaki","Mar-08",2700,
"Total filled jobs","Accommodation and food services","Otago","Mar-08",9270,
"Total filled jobs","Accommodation and food services","Wellington","Mar-08",14220,
"Total filled jobs","Accommodation and food services","Auckland","Mar-08",34510,
"Total filled jobs","Accommodation and food services","Northland","Mar-08",3940,
"Total filled jobs","Retail trade","Tasman, Nelson, Marlborough, West Coast","Mar-08",8120,
"Total filled jobs","Accommodation and food services","Waikato","Mar-08",10680,
"Total filled jobs","Retail trade","Manawatu-Wanganui","Mar-08",10660,
